regional_name,aro,ava,aro_swaras,ava_swaras,kritis,aro_seq,ava_seq,category,swaras,melam_num,janaka_melam,janaka,chakra,chakra_num,hind,songs,alternates,same_aro,same_ava,one_swara_diff,varnams
accan,"['s', 'r1', 'm1', 'p', 'd2', 'n2', 's.']","['s.', 'n2', 'd2', 'p', 'm1', 'g2', 's']","['शद्जाम', 'सुड्डा ऋषभम', 'सुड्डा मध्यमम', 'पंचमम', 'चतुश्रुति दैवतम्', 'कैसिकी निषादम', 'शद्जाम']","['शद्जाम', 'कैसिकी निषादम', 'चतुश्रुति देवता', 'पंचम', 'शुद्ध मध्यम', 'सरल गंधराम', 'शद्जम']",[],S|R1|M1|P|D2|N2|S',S'|N2|D2|P|M1|G2|S,శాడవ,"['m1', 'n2', 'g2', 's.', 'r1', 's', 'p', 'd2']",,10,नाटकप्रिय:,,,[],[],[],"['अंजनाई', 'रसली', 'एलोन', 'वनाली', 'गिरिजावली', 'थिरुमाचुथा', 'वसंथलीला', 'श्रीनारायणी', 'करजावली', 'रत्नाभरण', 'श्रीकावल्यम', 'भानुमति', ' भ्रामरवर्धिनी ',' भ्रामरावर्दिनी ',' अंधाकारी ',' इंद्रपद ',' गंगासुता ']","['मतंगगामिनी', 'कोडाई', 'कोटरी', 'कन्नदसौराष्ट्र', 'कोमगल', 'नगरी', 'कोकली', 'अतिधाता', 'जयंतसेना', 'इंद्रधनु', 'सुनदा']","['तोड़ी', 'खरहरप्रिया', 'धन्यसी', 'सहनायकन', 'देवमनोहारी']",[]
आदिभैरवी,"['s', 'm1', 'g2', 'm1', 'p', 'd1', 's.']","['s.', 'n2', 'd1', 'p', 'g2', 'r2', 's']","['शद्जाम', 'शुद्ध मध्यम', 'सरल गंधराम', 'शुद्ध मध्यम', 'पंचम', 'सुद्दा दैवतम', 'शद्जाम']","['शद्जाम', 'कैसिकी निषादम', 'सुद्दा दैवतम', 'पंचम', 'सरल गंधराम', 'चतुश्रुति ऋषभम', 'शद्जाम']","[['ना दिरु दिरु धिम तानाना-तिल्लाना', 'एम। बालमुरलीकृष्ण '', ''], ['श्री जगदीश्वरी दुर्गा', 'लालगुडी जयरामन', '']]",S|M1|G2|M1|P|D1|S',S'|N2|D1|P|G2|R2|S,ఔడవ-శాడవ,"['m1', 'd1', 'n2', 'g2', 's.', 's', 'r2', 'p']",,20,नताभैरवी,,,[],[],[],[],"['जयवाणी', 'गमनाथरंगिनी', 'रसकलाम्बिका', 'पनुवलत्ती', 'झंकारी', 'गणपैनादि', 'जीवनपुरी', 'जरंगी', 'गोमेधिकाप्रिया']","['तोड़ी', 'भैरवी', 'खरहरप्रिया', 'मणिरंगु', 'बागेश्री']",[]
आगमरुदम,"['s', 'r2', 'g3', 'p', 'n2', 's.']","['s.', 'd1', 'p', 'm2', 'g3', 'r2', 's']","['शद्जाम', 'चतुश्रुति ऋषभम', 'अंतरा गंधराम', 'पंचम', 'कैसिकी निषादम', 'शद्जाम']","['शद्जाम', 'सुधा देवतम', 'पंचम', 'प्रति मध्यमम', 'अंतरा गंधराम', 'चतुश्रुति ऋषभम', 'शद्जाम']",[],S|R2|G3|P|N2|S',S'|D1|P|M2|G3|R2|S,ఔడవ-శాడవ,"['d1', 'n2', 's.', 'm2', 's', 'r2', 'p', 'g3']",,62,ऋषभ प्रिया,,,[],[],[],"['चित्रदेवी!', 'सिंघनदम', 'सिम्हनदा', 'जनिनी', 'विनवादिनी', 'स्वाति', 'नम्माजहवार', 'सुरभिप्रिय']","['गोविंदाधन्यासी', 'पत्रवजय', 'अंगयार्कन्नी', 'मुकुंदकल्यानी', 'श्रीरन्नी', 'अधिपति', 'ओन्शुधरागम', 'कंदावली', 'भद्रवजहाई', 'एझिलानायकन', 'ओडिशिल', 'विन्नवधिपति', ',' नादियन ',' शिवनायकी ',' घंटाावली ',' वृंदावनदेशक्षी ',' कनककुसुमावली ',' रुचिरमणि ']","['कल्याणी', 'शणमुखप्रिया', 'नलट्टम', 'सारंगा', 'चारुकेशी']",[]
अगुदुरी,"['s', 'r2', 'g3', 'p', 'd1', 's.']","['s.', 'n2', 'p', 'm2', 'g3', 'r2', 's']","['शद्जाम', 'चतुश्रुति ऋषभम', 'अंतरा गंधराम', 'पंचम', 'सुद्दा देवतम', 'शद्जाम']","['शद्जाम', 'कैसिकी निषादम', 'पंचम', 'प्रति मध्यम', 'अंतरा गंधराम', 'चतुश्रुति ऋषभम', 'शद्जाम']",[],S|R2|G3|P|D1|S',S'|N2|P|M2|G3|R2|S,ఔడవ-శాడవ,"['d1', 'n2', 's.', 'm2', 's', 'r2', 'p', 'g3']",,62,ऋषभ प्रिया,,,[],[],[],"['देसाक्षी', 'जरापा', 'वसंती', 'शिरुवाजुतुनै', 'बदारी', 'दिव्यतोरानी', 'गोकुलमूर्ति', 'यताक्षी', 'चित्रिणी', 'जनसमोदिनी', 'अंगारंगा', 'मार्गदेशिका']","['पद्माकांति', 'मंगयारकारशी', 'इंनिशक्कदल', 'अनुवाजिप्रियन', 'अरुलनायकी', 'देवपुगझमनी', 'विनमृतम', 'करुणाकरण', 'परिवार']","['सारंगा', 'ज्योतिस्वरुपिनी', 'विसाकिनी', 'वीरारानी', 'वीरन']",[]
अहिरिनाटा,"['s', 'm1', 'g3', 'm1', 'p', 'd2', 'n3', 's.']","['s.', 'n3', 'p', 'd2', 'n3', 'p', 'g3', 'm1', 's']","['शद्जम', 'शुद्ध मध्यम', 'अंतरा गंधराम', 'शुद्ध मध्यम', 'पंचम', 'चतुश्रुति दैवतम्', 'काकली निषादम', 'शद्जम']","['शद्जाम', 'काकाली निषादम', 'पंचम', 'चतुश्रुति दैवतम्', 'काकली निषादम', 'पंचमम्', 'अंतरा गंधराम', 'शुद्ध मध्यमम', 'शद्जाम']",[],S|M1|G3|M1|P|D2|N3|S',S'|N3|P|D2|N3|P|G3|M1|S,శాడవ,"['m1', 'n3', 's.', 's', 'p', 'd2', 'g3']",,29,धीरशंकरभरणम,,,[],[],[],"['पद्रध्वानी', 'पतिरव', 'महानंदिनी', 'हरिनाता', 'भानुता']",[],"['धीरशंकरभरणम', 'बिल्हारी', 'कन्नड़', 'दरबार', 'देवगंधारी']",[]
सीताम,"['s', 'g3', 'm1', 'd1', 's.']","['s.', 'n2', 'd1', 'p', 'm1', 'g3', 'r2', 's']","['शद्जाम', 'अंतरा गंधराम', 'शुद्ध मध्यमम', 'सुद्दा दैवतम', 'शद्जाम']","['शद्जाम', 'कैसिकी निषादम', 'सुद्दा दैवतम', 'पंचम', 'सुड्डा मध्यमम', 'अंतरा गंधराम', 'चतुश्रुति ऋषभम', 'शद्जाम']",[],S|G3|M1|D1|S',S'|N2|D1|P|M1|G3|R2|S,స్వరాంతర-సంపూర్ణ,"['m1', 'd1', 'n2', 's.', 's', 'r2', 'p', 'g3']",,26,चारुकेशियो,,,[],[],[],"['सुधाकरप्रिया', 'श्रीनाका', 'उलगनेत्र', 'अविदैयार', 'जलजावती', 'सुखमबल', 'कोकिलागंधर्व', 'उदासनन', 'सुताकारप्रिया']","['मरुभी', 'जरापा', 'सोमप्रतापम', 'जतिरेश', 'तरंगिणी', 'सर्वभौम', 'सतीरेश', 'चारुकेशी', 'पूर्वधन्यसी', 'सदकावनम', 'शुक्रज्योति', 'अंतरवाहिनी', ' शिवमनोहारी ']","['आनंद', 'अभेरी', 'उमाभरना', 'माररंजनी', 'विष्णुप्रिया']",[]
चित्रचंद्रिका,"['s', 'g3', 'r2', 'm2', 'p', 'n3', 'd1', 's.']","['s.', 'n3', 'd1', 'm2', 'g3', 'r2', 's']","['शद्जाम', 'अंतरा गंधराम', 'चतुश्रुति ऋषभम', 'प्रति मध्यमम', 'पंचमम', 'काकाली निषादम', 'सुद्दा दैवतम', 'शद्जाम']","['शद्जाम', 'काकाली निषादम', 'सुड्डा देवतम', 'प्रति मध्यम', 'अंतरा गंधराम', 'चतुश्रुति ऋषभम', 'शद्जाम']",[],S|G3|R2|M2|P|N3|D1|S',S'|N3|D1|M2|G3|R2|S,సంపూర్ణ-శాడవ,"['d1', 'n3', 's.', 'm2', 's', 'r2', 'p', 'g3']",,63,लतंगी,,,[],[],[],['चामुंडी'],"['ललितांगी', 'कन्नय्याकी']","['कुंतलम', 'कांतामणि', 'धतुवर्धनी', 'चित्रंबरी', 'योगज्योति']",[]
चित्रमालिका,"['s', 'r2', 'g2', 'm1', 'p', 'd2', 'n3', 's.']","['s.', 'd2', 'p', 'm1', 'r2', 's']","['शद्जाम', 'चतुश्रुति ऋषभम', 'सरल गंधराम', 'शुद्ध मध्यम', 'पंचम', 'चतुश्रुति दैवतम्', 'काकली निषादम', 'शद्जाम']","['शद्जाम', 'चतुश्रुति देवता', 'पंचम', 'शुद्ध मध्यमम', 'चतुश्रुति ऋषभम', 'शद्जाम']",[],S|R2|G2|M1|P|D2|N3|S',S'|D2|P|M1|R2|S,సంపూర్ణ-ఔడవ,"['m1', 'g2', 'n3', 's.', 's', 'r2', 'p', 'd2']",,23,गौरीमनोहारी,,,[],[],[],"['सयाका', 'विजयनारायणी', 'गौरीमनोहारी', 'सदया', 'शंहबारीप्रिया', 'चित्तोत्तम', 'कोमाला', 'कोडंडा', 'सिंधोत्तम', 'देसक्य', 'तिरुचयामगल']","['हरिधरभा', 'यादवनायकन', 'कों', 'श्रीसुरगुरु', 'पझंतक्का', 'जनरंजनी', 'शुद्धसावेरी', 'सेल्वमनी', 'भिन्विक्रम', 'लयमध्या', 'घंटैकुरंजी', 'सेचाई', ' देवसराय ',' कल्हरु ',' दुर्गा ',' जवोन्नति ',' नतनवती ',' शोवाई ',' नंदनावली ']","['धीरशंकरभरणम', 'खरहरप्रिया', 'कन्नड़', 'दरबार', 'शहाना']",[]
सीतरामंद्रा,"['s', 'r1', 'g3', 'm1', 'n3', 's.']","['s.', 'n3', 'd1', 'p', 'm1', 'g3', 'r1', 's']","['शद्जाम', 'सुड्डा ऋषभम', 'अंतरा गंधराम', 'सुद्दा मध्यम', 'काकाली निषादम', 'शद्जाम']","['शद्जाम', 'काकाली निषादम', 'सुड्डा दैवतम्', 'पंचमम', 'सुड्डा मध्यमम', 'अंतरा गंधराम', 'सुद्दा ऋषभम', 'शद्जाम']",[],S|R1|G3|M1|N3|S',S'|N3|D1|P|M1|G3|R1|S,ఔడవ-సంపూర్ణ,"['m1', 'd1', 'n3', 's.', 'r1', 's', 'p', 'g3']",,15,जादुई राग,,,[],[],[],"['मेघरांजी', 'अविवर्धन']","['बिंदुहेराली', 'कुकुता', 'पराजू', 'मल्लिकावसंथम', 'घनासिंधु', 'मंगलकैशिका!', 'प्रकररंजनी', 'मोहनकैशिकी', 'सिंहलललिता', 'मार्गसंजीवी', 'चयकौशिका', 'शेशप्रभाता' 'मेकाबौली', 'मथिरुनिला', 'उचचिकिजा', 'काशीरामक्रिया', 'मायामालवगौला रागमु', 'गया', 'लिप्ताली', 'मालवपंचम', 'बौलंगी', 'गुहाथिरुमलाई', 'विली', 'केसाबौली', ' इंदल', 'सुरसिंधु', 'दारकवसंथा', 'उसा', 'मालवागौला', 'पुरानाकम', 'गुम्मकम्भोजी', 'इशिकादंडिपाद', 'उसाना', 'मुदुवन', 'वेगावदित्य', 'शनास्त्र', 'मंगलाकिशिकी' , 'योगलीला', 'विरसंकासिनी', 'ब्रह्मलीला']","['आनंद', 'गौला', 'मलाहारी', 'बौली', 'पहाड़ी']",[]
हरधारिणी,"['s', 'g1', 'm2', 'p', 'd1', 's.']","['s.', 'd1', 'p', 'm2', 'r1', 's']","['शद्जाम', 'शुद्ध गंधराम', 'प्रति मध्यमम', 'पंचमम', 'सुद्दा दैवतम', 'शद्जाम']","['शद्जाम', 'सुद्दा देवतम', 'पंचम', 'प्रति मध्यमम', 'सुद्दा ऋषभम', 'शद्जाम']",[],S|G1|M2|P|D1|S',S'|D1|P|M2|R1|S,ఔడవ,"['d1', 's.', 'm2', 'r1', 'g1', 's', 'p']",,37,सालगाम,,,[],[],[],[],"['जलकेसरी', 'उथुंगमना', 'पुष्पललिता', 'हस्तिनी', 'सरचचंदानी', 'तिशायम', 'परंदमन', 'नेक्कुरोदम', 'तारज्योति', 'कन्नदकुरिंजी']","['सावेरी', 'वराली', 'मलयामरुथम', 'अमृतवर्षी', 'सलगभैरवी']",[]
